,gender,age_group,child_num,income_total,asset,edu_type,house_type,occyp_type,income_stability,family_type,family_size,emp_years,income_per_capita,hold_period,credit
122,F,30,2,283500.0,YY,Higher education,House / apartment,Core staff,1,Married,4.0,11,0.5,39.0,2.0
123,F,50,0,202500.0,NY,Secondary / secondary special,House / apartment,High skill tech staff,1,Married,2.0,17,0.0,48.0,2.0
124,F,40,2,90000.0,YY,Secondary / secondary special,House / apartment,Accountants,1,Married,4.0,9,0.5,55.0,2.0
125,M,30,0,360000.0,NY,Secondary / secondary special,House / apartment,Managers,1,Married,2.0,11,0.0,42.0,2.0
126,F,30,1,175500.0,YN,Secondary / secondary special,Municipal apartment,Laborers,3,Single / not married,2.0,13,0.5,45.0,2.0
127,M,40,1,360000.0,YY,Higher education,House / apartment,Laborers,3,Married,3.0,1,0.3333333333333333,30.0,2.0
128,F,30,1,112500.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Married,3.0,14,0.3333333333333333,38.0,1.0
129,M,40,1,315000.0,NN,Secondary / secondary special,House / apartment,Laborers,3,Married,3.0,4,0.3333333333333333,11.0,2.0
130,F,40,0,297000.0,NY,Secondary / secondary special,Rented apartment,Laborers,3,Single / not married,1.0,8,0.0,1.0,0.0
131,F,30,0,202500.0,YN,Secondary / secondary special,With parents,Commercial associate,2,Civil marriage,2.0,14,0.0,33.0,0.0
132,F,20,0,225000.0,NN,Higher education,House / apartment,Drivers,2,Married,2.0,1,0.0,35.0,2.0
133,F,30,1,387000.0,YN,Higher education,House / apartment,Managers,1,Married,3.0,7,0.3333333333333333,22.0,2.0
134,F,60,0,135000.0,YY,Secondary / secondary special,House / apartment,Pensioner,1,Widow,1.0,-1000,0.0,6.0,2.0
135,M,40,1,337500.0,YN,Higher education,House / apartment,Managers,1,Separated,2.0,0,0.5,23.0,0.0
136,F,30,1,225000.0,NN,Secondary / secondary special,House / apartment,Accountants,1,Civil marriage,3.0,1,0.3333333333333333,29.0,2.0
137,F,30,1,225000.0,YY,Secondary / secondary special,House / apartment,Sales staff,2,Married,3.0,8,0.3333333333333333,46.0,2.0
138,F,60,0,54000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,2.0,0.0
139,F,30,0,157500.0,YN,Secondary / secondary special,House / apartment,Commercial associate,2,Married,2.0,2,0.0,39.0,2.0
140,M,30,1,180000.0,YY,Higher education,With parents,Laborers,3,Married,3.0,4,0.3333333333333333,15.0,0.0
141,F,20,1,112500.0,YY,Higher education,House / apartment,Core staff,1,Civil marriage,3.0,8,0.3333333333333333,12.0,2.0
142,M,60,0,360000.0,YY,Higher education,House / apartment,Managers,1,Married,2.0,5,0.0,11.0,2.0
143,F,30,0,256500.0,YY,Secondary / secondary special,House / apartment,Core staff,1,Married,2.0,2,0.0,45.0,2.0
144,F,20,0,180000.0,YN,Secondary / secondary special,House / apartment,Working,2,Married,2.0,3,0.0,8.0,2.0
145,F,50,0,202500.0,YN,Secondary / secondary special,House / apartment,Medicine staff,1,Married,2.0,32,0.0,7.0,2.0
146,F,30,0,247500.0,NN,Higher education,House / apartment,Managers,1,Married,2.0,20,0.0,6.0,1.0
147,F,30,0,157500.0,NY,Higher education,House / apartment,Sales staff,2,Married,2.0,1,0.0,11.0,1.0
148,M,30,0,225000.0,YY,Secondary / secondary special,House / apartment,Working,2,Married,2.0,2,0.0,26.0,2.0
149,F,30,2,112500.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Married,4.0,6,0.5,49.0,1.0
150,F,30,1,157500.0,YN,Higher education,House / apartment,Laborers,3,Married,3.0,7,0.3333333333333333,41.0,2.0
151,M,40,0,360000.0,YY,Secondary / secondary special,House / apartment,Drivers,2,Married,2.0,0,0.0,33.0,2.0
152,F,20,0,360000.0,YY,Secondary / secondary special,House / apartment,Medicine staff,1,Separated,1.0,1,0.0,35.0,2.0
153,M,40,0,180000.0,YY,Secondary / secondary special,House / apartment,Drivers,2,Married,2.0,9,0.0,32.0,1.0
154,F,50,0,175500.0,NN,Secondary / secondary special,House / apartment,Working,2,Married,2.0,30,0.0,46.0,2.0
155,F,50,0,90000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,35.0,2.0
156,M,40,1,135000.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Separated,2.0,2,0.5,38.0,2.0
157,M,20,2,157500.0,NY,Secondary / secondary special,House / apartment,Working,2,Married,4.0,3,0.5,44.0,2.0
158,M,20,1,202500.0,NY,Higher education,House / apartment,Core staff,1,Married,3.0,6,0.3333333333333333,39.0,2.0
159,F,50,0,153000.0,NY,Higher education,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,51.0,1.0
160,F,40,1,72000.0,YY,Secondary / secondary special,House / apartment,Sales staff,2,Married,3.0,3,0.3333333333333333,11.0,2.0
161,M,30,2,360000.0,YY,Secondary / secondary special,House / apartment,Managers,1,Married,4.0,2,0.5,33.0,0.0
162,F,40,1,540000.0,NN,Secondary / secondary special,House / apartment,Managers,1,Separated,2.0,5,0.5,60.0,2.0
163,F,60,0,155250.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,24.0,2.0
164,M,50,0,189000.0,YY,Secondary / secondary special,House / apartment,Security staff,2,Married,2.0,2,0.0,3.0,1.0
165,F,50,0,139500.0,NY,Higher education,House / apartment,State servant,1,Married,2.0,2,0.0,4.0,1.0
166,F,50,0,495000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Widow,1.0,-1000,0.0,15.0,2.0
167,M,40,0,459000.0,YN,Secondary / secondary special,House / apartment,Drivers,2,Married,2.0,0,0.0,14.0,2.0
168,F,50,0,157500.0,NN,Secondary / secondary special,House / apartment,Working,2,Married,2.0,27,0.0,21.0,1.0
169,F,30,1,225000.0,NY,Secondary / secondary special,House / apartment,Working,2,Separated,2.0,10,0.5,3.0,1.0
170,M,40,1,450000.0,YY,Secondary / secondary special,House / apartment,Core staff,1,Married,3.0,1,0.3333333333333333,60.0,2.0
171,F,40,0,135000.0,NN,Secondary / secondary special,House / apartment,Private service staff,2,Married,2.0,2,0.0,2.0,0.0
172,M,40,1,135000.0,NY,Secondary / secondary special,House / apartment,Working,2,Married,3.0,22,0.3333333333333333,49.0,1.0
173,F,60,0,189000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,19.0,0.0
174,F,20,0,225000.0,NY,Higher education,House / apartment,Sales staff,2,Married,2.0,2,0.0,15.0,2.0
175,M,20,0,112500.0,NY,Secondary / secondary special,House / apartment,Drivers,2,Married,2.0,3,0.0,2.0,1.0
176,F,40,0,315000.0,YN,Higher education,House / apartment,Managers,1,Married,2.0,27,0.0,26.0,2.0
177,F,30,0,157500.0,NN,Higher education,Rented apartment,Commercial associate,2,Single / not married,1.0,3,0.0,22.0,1.0
178,M,50,0,126000.0,NN,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,12.0,2.0
179,M,40,0,315000.0,YY,Secondary / secondary special,Rented apartment,Drivers,2,Married,2.0,5,0.0,19.0,2.0
180,F,50,0,720000.0,YY,Higher education,House / apartment,Managers,1,Separated,1.0,13,0.0,58.0,2.0
181,F,50,0,90000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,5.0,0.0
182,F,20,2,67500.0,NY,Higher education,House / apartment,Working,2,Married,4.0,2,0.5,12.0,0.0
183,F,60,0,157500.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,42.0,1.0
184,M,40,0,225000.0,YN,Secondary / secondary special,Office apartment,Drivers,2,Married,2.0,2,0.0,46.0,2.0
185,F,40,0,180000.0,NY,Lower secondary,House / apartment,Cleaning staff,3,Widow,1.0,6,0.0,49.0,2.0
186,F,50,0,216000.0,YY,Higher education,House / apartment,Secretaries,2,Married,2.0,4,0.0,10.0,2.0
187,F,30,1,157500.0,YY,Secondary / secondary special,House / apartment,Laborers,3,Married,3.0,11,0.3333333333333333,4.0,1.0
188,F,50,0,112500.0,NN,Secondary / secondary special,House / apartment,Pensioner,1,Widow,1.0,-1000,0.0,26.0,0.0
189,F,40,0,112500.0,NY,Secondary / secondary special,House / apartment,Working,2,Married,2.0,12,0.0,44.0,2.0
190,F,60,0,90000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Single / not married,1.0,-1000,0.0,13.0,0.0
191,F,50,0,121500.0,NN,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,28.0,2.0
192,F,30,0,135000.0,NY,Higher education,House / apartment,Laborers,3,Married,2.0,4,0.0,14.0,2.0
193,M,40,0,202500.0,YN,Secondary / secondary special,House / apartment,Security staff,2,Married,2.0,7,0.0,22.0,0.0
194,M,30,1,252000.0,YN,Higher education,House / apartment,High skill tech staff,1,Married,3.0,4,0.3333333333333333,19.0,1.0
195,F,30,0,202500.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Civil marriage,2.0,1,0.0,5.0,2.0
196,M,20,0,202500.0,YY,Secondary / secondary special,House / apartment,Managers,1,Married,2.0,6,0.0,36.0,2.0
197,M,30,1,360000.0,NY,Secondary / secondary special,House / apartment,Sales staff,2,Civil marriage,3.0,6,0.3333333333333333,49.0,2.0
198,F,30,2,225000.0,NY,Secondary / secondary special,House / apartment,Medicine staff,1,Married,4.0,14,0.5,26.0,1.0
199,F,40,2,360000.0,NY,Secondary / secondary special,House / apartment,Sales staff,2,Married,4.0,1,0.5,11.0,2.0
200,M,40,0,202500.0,YY,Higher education,House / apartment,Managers,1,Married,2.0,5,0.0,3.0,1.0
201,F,30,0,225000.0,YY,Higher education,House / apartment,Core staff,1,Married,2.0,10,0.0,10.0,1.0
202,F,30,0,135000.0,NN,Higher education,House / apartment,Core staff,1,Married,2.0,12,0.0,8.0,1.0
203,M,30,0,360000.0,YY,Secondary / secondary special,House / apartment,Laborers,3,Married,2.0,11,0.0,41.0,2.0
204,M,40,0,382500.0,NN,Secondary / secondary special,Municipal apartment,Managers,1,Married,2.0,3,0.0,46.0,1.0
205,F,40,0,171000.0,NY,Secondary / secondary special,Rented apartment,Laborers,3,Single / not married,1.0,1,0.0,28.0,2.0
206,M,30,0,292500.0,NN,Secondary / secondary special,House / apartment,Core staff,1,Married,2.0,7,0.0,48.0,1.0
207,F,30,0,144000.0,YN,Secondary / secondary special,House / apartment,HR staff,1,Widow,1.0,3,0.0,6.0,2.0
208,F,30,2,112500.0,NN,Higher education,House / apartment,Core staff,1,Married,4.0,7,0.5,3.0,0.0
209,F,50,0,81000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,18.0,2.0
210,F,40,1,225000.0,YY,Higher education,House / apartment,Core staff,1,Separated,2.0,4,0.5,-0.0,1.0
211,F,40,0,315000.0,NY,Higher education,House / apartment,Accountants,1,Separated,1.0,6,0.0,52.0,2.0
212,M,40,1,427500.0,YY,Higher education,House / apartment,Managers,1,Married,3.0,0,0.3333333333333333,3.0,1.0
213,F,30,0,78750.0,NN,Secondary / secondary special,With parents,Security staff,2,Married,2.0,5,0.0,13.0,2.0
214,F,60,0,67500.0,NN,Higher education,House / apartment,Pensioner,1,Widow,1.0,-1000,0.0,30.0,0.0
215,F,60,0,121500.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Married,2.0,5,0.0,13.0,2.0
216,F,40,0,144000.0,NN,Secondary / secondary special,House / apartment,Core staff,1,Single / not married,1.0,20,0.0,42.0,2.0
217,F,60,0,135000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,45.0,1.0
218,F,50,0,94500.0,NN,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,41.0,0.0
219,F,40,0,562500.0,YN,Higher education,House / apartment,Managers,1,Married,2.0,7,0.0,12.0,0.0
220,F,60,0,90000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Single / not married,1.0,-1000,0.0,32.0,1.0
221,F,30,1,72000.0,NN,Higher education,House / apartment,Accountants,1,Married,3.0,5,0.3333333333333333,43.0,2.0
222,M,40,0,144000.0,NY,Secondary / secondary special,House / apartment,Security staff,2,Civil marriage,2.0,5,0.0,11.0,2.0
223,F,50,0,202500.0,YN,Secondary / secondary special,Municipal apartment,Accountants,1,Married,2.0,3,0.0,17.0,2.0
224,F,40,0,270000.0,NN,Higher education,House / apartment,Managers,1,Married,2.0,15,0.0,28.0,2.0
225,M,30,1,180000.0,YN,Secondary / secondary special,House / apartment,Working,2,Married,3.0,12,0.3333333333333333,12.0,1.0
226,F,30,2,315000.0,YY,Higher education,With parents,Managers,1,Married,4.0,3,0.5,50.0,2.0
227,M,50,0,180000.0,YY,Secondary / secondary special,House / apartment,Working,2,Married,2.0,8,0.0,49.0,1.0
228,M,20,0,292500.0,NY,Higher education,Rented apartment,Sales staff,2,Single / not married,1.0,3,0.0,7.0,0.0
