,gender,age_group,child_num,income_total,asset,edu_type,house_type,occyp_type,income_stability,email,work_phone,family_type,family_size,emp_years,income_per_capita,hold_period,credit,income_total_label,income_per_capita_label
31,M,30,0,135000.0,2,Higher education,House / apartment,Laborers,3,1,1,Married,2.0,9,67500.0,18.0,0.0,3,1.5
32,F,30,0,135000.0,1,Higher education,House / apartment,Laborers,3,0,0,Married,2.0,4,67500.0,2.0,0.0,3,1.5
33,M,50,0,202500.0,1,Secondary / secondary special,House / apartment,High skill tech staff,1,0,0,Married,2.0,0,101250.0,30.0,2.0,5,2.5
34,M,30,1,270000.0,2,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,3.0,4,90000.0,22.0,0.0,7,2.3333333333333335
35,F,30,0,225000.0,1,Higher education,House / apartment,Managers,1,0,0,Civil marriage,2.0,6,112500.0,20.0,2.0,6,3.0
36,F,50,0,225000.0,1,Higher education,House / apartment,Accountants,1,0,1,Single / not married,1.0,2,225000.0,14.0,2.0,6,6.0
37,M,40,0,585000.0,2,Secondary / secondary special,With parents,Drivers,2,0,0,Married,2.0,4,292500.0,8.0,2.0,10,5.0
38,F,30,0,202500.0,1,Secondary / secondary special,House / apartment,Sales staff,2,0,0,Married,2.0,9,101250.0,41.0,2.0,5,2.5
39,M,30,2,112500.0,2,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,4.0,4,28125.0,39.0,2.0,3,0.75
40,M,50,0,90900.0,2,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,2.0,6,45450.0,21.0,1.0,2,1.0
41,F,30,2,99000.0,1,Higher education,House / apartment,Accountants,1,0,0,Married,4.0,1,24750.0,19.0,2.0,2,0.5
42,M,20,1,270000.0,0,Secondary / secondary special,House / apartment,Managers,1,0,1,Married,3.0,1,90000.0,35.0,0.0,7,2.3333333333333335
43,F,20,0,67500.0,0,Secondary / secondary special,House / apartment,Sales staff,2,0,0,Married,2.0,5,33750.0,8.0,1.0,1,0.5
44,M,40,0,247500.0,0,Higher education,House / apartment,Drivers,2,0,0,Civil marriage,2.0,0,123750.0,26.0,2.0,7,3.5
45,M,50,0,405000.0,1,Higher education,House / apartment,High skill tech staff,1,0,1,Married,2.0,8,202500.0,4.0,0.0,8,4.0
46,F,50,0,135000.0,0,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Widow,1.0,-1000,135000.0,24.0,2.0,3,3.0
47,F,50,0,292500.0,2,Higher education,House / apartment,Sales staff,2,0,0,Married,2.0,9,146250.0,48.0,2.0,7,3.5
48,F,60,0,99000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,49500.0,4.0,2.0,2,1.0
49,F,50,0,585000.0,1,Secondary / secondary special,House / apartment,Commercial associate,2,0,0,Married,2.0,5,292500.0,12.0,2.0,10,5.0
50,F,30,1,90000.0,1,Secondary / secondary special,House / apartment,Sales staff,2,0,1,Married,3.0,3,30000.0,4.0,2.0,2,0.6666666666666666
51,M,20,0,495000.0,2,Incomplete higher,With parents,Drivers,2,1,0,Married,2.0,3,247500.0,10.0,2.0,10,5.0
52,F,60,0,54000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,27000.0,37.0,2.0,1,0.5
53,F,30,2,306000.0,2,Higher education,House / apartment,Core staff,1,0,0,Married,4.0,10,76500.0,42.0,2.0,7,1.75
54,F,40,1,99000.0,0,Secondary / secondary special,House / apartment,Working,2,0,0,Married,3.0,1,33000.0,2.0,1.0,2,0.6666666666666666
55,F,30,0,180000.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,2.0,8,90000.0,24.0,2.0,5,2.5
56,F,40,0,130500.0,2,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,2.0,25,65250.0,29.0,2.0,3,1.5
57,F,40,0,225000.0,1,Higher education,House / apartment,Core staff,1,0,0,Single / not married,1.0,1,225000.0,3.0,1.0,6,6.0
58,F,60,0,144000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,72000.0,23.0,2.0,4,2.0
59,F,60,0,360000.0,1,Higher education,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,180000.0,25.0,2.0,8,4.0
60,M,50,0,112500.0,2,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Separated,1.0,-1000,112500.0,1.0,1.0,3,3.0
61,M,30,1,270000.0,1,Higher education,House / apartment,Managers,1,0,0,Married,3.0,3,90000.0,15.0,2.0,7,2.3333333333333335
62,F,40,0,225000.0,2,Higher education,House / apartment,Core staff,1,0,0,Married,2.0,8,112500.0,40.0,1.0,6,3.0
63,M,40,0,315000.0,2,Higher education,House / apartment,Managers,1,0,0,Married,2.0,9,157500.0,21.0,2.0,8,4.0
64,M,20,0,67500.0,1,Secondary / secondary special,Municipal apartment,Security staff,2,0,0,Single / not married,1.0,1,67500.0,32.0,2.0,1,1.0
65,F,30,0,40500.0,1,Secondary / secondary special,House / apartment,Cleaning staff,3,0,1,Married,2.0,13,20250.0,10.0,2.0,1,0.5
66,M,30,1,144000.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,3.0,7,48000.0,4.0,1.0,4,1.3333333333333333
67,F,30,2,157500.0,1,Higher education,House / apartment,High skill tech staff,1,0,0,Married,4.0,3,39375.0,2.0,1.0,5,1.25
68,F,20,0,180000.0,0,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,2.0,4,90000.0,14.0,1.0,5,2.5
69,F,40,0,157500.0,1,Higher education,House / apartment,Medicine staff,1,1,0,Married,2.0,8,78750.0,59.0,2.0,5,2.5
70,M,20,0,81000.0,1,Higher education,House / apartment,Laborers,3,0,0,Single / not married,1.0,5,81000.0,39.0,2.0,2,2.0
71,M,40,2,202500.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,4.0,10,50625.0,54.0,2.0,5,1.25
72,F,50,0,351000.0,0,Higher education,House / apartment,Commercial associate,2,0,0,Married,2.0,2,175500.0,4.0,2.0,8,4.0
73,F,60,0,180000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,90000.0,34.0,2.0,5,2.5
74,F,20,1,67500.0,1,Secondary / secondary special,House / apartment,Sales staff,2,0,1,Married,3.0,0,22500.0,25.0,2.0,1,0.3333333333333333
75,F,40,0,315000.0,2,Secondary / secondary special,House / apartment,Core staff,1,1,0,Married,2.0,15,157500.0,34.0,2.0,8,4.0
76,F,30,0,315000.0,1,Higher education,House / apartment,Commercial associate,2,0,1,Married,2.0,1,157500.0,15.0,2.0,8,4.0
77,F,20,0,135000.0,0,Higher education,House / apartment,Core staff,1,0,0,Single / not married,1.0,1,135000.0,7.0,1.0,3,3.0
78,F,30,0,112500.0,2,Secondary / secondary special,House / apartment,Sales staff,2,0,1,Married,2.0,0,56250.0,23.0,1.0,3,1.5
79,F,40,1,225000.0,2,Higher education,House / apartment,Core staff,1,0,0,Separated,2.0,4,112500.0,2.0,0.0,6,3.0
80,F,40,0,247500.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Civil marriage,2.0,0,123750.0,2.0,1.0,7,3.5
81,M,20,0,135000.0,2,Secondary / secondary special,House / apartment,Sales staff,2,1,0,Married,2.0,2,67500.0,-0.0,0.0,3,1.5
82,F,40,0,216000.0,2,Higher education,House / apartment,Accountants,1,1,0,Civil marriage,2.0,3,108000.0,53.0,2.0,6,3.0
83,F,30,2,180000.0,0,Higher education,House / apartment,High skill tech staff,1,0,0,Married,4.0,4,45000.0,38.0,1.0,5,1.25
84,M,60,0,135000.0,2,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,67500.0,27.0,2.0,3,1.5
85,M,40,0,184500.0,1,Secondary / secondary special,Municipal apartment,Laborers,3,0,0,Married,2.0,3,92250.0,41.0,1.0,5,2.5
86,M,30,1,112500.0,2,Secondary / secondary special,House / apartment,Drivers,2,1,1,Married,3.0,1,37500.0,45.0,2.0,3,1.0
87,F,30,0,270000.0,1,Secondary / secondary special,House / apartment,Core staff,1,1,1,Widow,1.0,0,270000.0,56.0,2.0,7,7.0
88,F,50,0,360000.0,2,Secondary / secondary special,House / apartment,Managers,1,0,0,Married,2.0,14,180000.0,45.0,2.0,8,4.0
89,M,30,0,450000.0,0,Incomplete higher,House / apartment,Managers,1,0,1,Married,2.0,11,225000.0,59.0,2.0,8,4.0
90,F,50,0,45000.0,1,Secondary / secondary special,House / apartment,Cleaning staff,3,0,1,Married,2.0,25,22500.0,30.0,2.0,1,0.5
91,F,50,0,202500.0,2,Secondary / secondary special,House / apartment,Private service staff,2,0,0,Married,2.0,8,101250.0,20.0,2.0,5,2.5
92,M,30,1,135000.0,2,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,3.0,1,45000.0,5.0,2.0,3,1.0
93,F,50,0,202500.0,1,Secondary / secondary special,House / apartment,High skill tech staff,1,0,0,Single / not married,1.0,9,202500.0,22.0,1.0,5,5.0
94,F,60,0,180000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,90000.0,26.0,2.0,5,2.5
95,M,40,0,79650.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,39825.0,14.0,2.0,2,1.0
96,M,60,0,450000.0,1,Secondary / secondary special,House / apartment,Security staff,2,0,0,Married,2.0,5,225000.0,56.0,2.0,8,4.0
97,M,20,0,157500.0,2,Secondary / secondary special,House / apartment,Drivers,2,0,0,Civil marriage,2.0,3,78750.0,46.0,2.0,5,2.5
98,M,20,0,450000.0,2,Higher education,House / apartment,Sales staff,2,1,0,Single / not married,1.0,1,450000.0,5.0,2.0,8,8.0
99,F,50,0,270000.0,0,Secondary / secondary special,House / apartment,Medicine staff,1,1,0,Separated,1.0,33,270000.0,35.0,2.0,7,7.0
100,F,60,0,135000.0,1,Higher education,House / apartment,Private service staff,2,0,0,Married,2.0,23,67500.0,9.0,2.0,3,1.5
101,F,50,0,81000.0,1,Secondary / secondary special,House / apartment,Managers,1,0,1,Married,2.0,8,40500.0,2.0,1.0,2,1.0
102,F,30,1,135000.0,0,Secondary / secondary special,House / apartment,Managers,1,0,0,Married,3.0,1,45000.0,12.0,2.0,3,1.0
103,M,40,0,315000.0,1,Higher education,House / apartment,Managers,1,0,1,Married,2.0,10,157500.0,12.0,2.0,8,4.0
104,M,40,0,225000.0,2,Higher education,House / apartment,Sales staff,2,0,0,Single / not married,1.0,6,225000.0,7.0,0.0,6,6.0
105,M,20,0,135000.0,2,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,2.0,7,67500.0,5.0,2.0,3,1.5
106,F,40,1,90000.0,0,Secondary / secondary special,House / apartment,Working,2,0,0,Married,3.0,5,30000.0,47.0,2.0,2,0.6666666666666666
107,F,20,1,306000.0,1,Higher education,House / apartment,Working,2,0,0,Married,3.0,4,102000.0,4.0,1.0,7,2.3333333333333335
108,F,20,0,153000.0,1,Higher education,House / apartment,Core staff,1,0,0,Single / not married,1.0,1,153000.0,22.0,2.0,4,4.0
109,F,60,0,126000.0,1,Secondary / secondary special,House / apartment,High skill tech staff,1,0,1,Married,2.0,6,63000.0,13.0,2.0,3,1.5
110,M,30,0,315000.0,2,Higher education,House / apartment,Managers,1,0,0,Married,2.0,0,157500.0,57.0,2.0,8,4.0
111,M,40,1,225000.0,2,Secondary / secondary special,House / apartment,Drivers,2,0,0,Married,3.0,6,75000.0,44.0,2.0,6,2.0
112,F,40,0,193500.0,0,Secondary / secondary special,House / apartment,Laborers,3,0,0,Single / not married,1.0,0,193500.0,4.0,2.0,5,5.0
113,F,40,2,90000.0,1,Secondary / secondary special,House / apartment,Cooking staff,2,0,0,Married,4.0,3,22500.0,36.0,1.0,2,0.5
114,M,30,2,135000.0,2,Higher education,House / apartment,Managers,1,1,0,Married,4.0,8,33750.0,43.0,2.0,3,0.75
115,F,50,0,81000.0,0,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,40500.0,49.0,2.0,2,1.0
116,F,30,1,382500.0,2,Secondary / secondary special,House / apartment,Managers,1,0,0,Married,3.0,7,127500.0,11.0,2.0,8,2.6666666666666665
117,F,40,0,202500.0,1,Secondary / secondary special,House / apartment,Sales staff,2,0,0,Married,2.0,1,101250.0,27.0,2.0,5,2.5
118,F,50,0,112500.0,1,Higher education,House / apartment,Sales staff,2,0,0,Married,2.0,15,56250.0,47.0,2.0,3,1.5
119,F,30,2,144000.0,1,Secondary / secondary special,House / apartment,Cooking staff,2,0,1,Married,4.0,5,36000.0,-0.0,1.0,4,1.0
120,F,50,0,157500.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Widow,1.0,-1000,157500.0,4.0,1.0,5,5.0
121,F,40,0,144000.0,0,Secondary / secondary special,Municipal apartment,Sales staff,2,0,1,Married,2.0,27,72000.0,35.0,2.0,4,2.0
122,F,30,2,283500.0,2,Higher education,House / apartment,Core staff,1,0,0,Married,4.0,11,70875.0,39.0,2.0,7,1.75
123,F,50,0,202500.0,1,Secondary / secondary special,House / apartment,High skill tech staff,1,0,0,Married,2.0,17,101250.0,48.0,2.0,5,2.5
124,F,40,2,90000.0,2,Secondary / secondary special,House / apartment,Accountants,1,0,0,Married,4.0,9,22500.0,55.0,2.0,2,0.5
125,M,30,0,360000.0,1,Secondary / secondary special,House / apartment,Managers,1,0,0,Married,2.0,11,180000.0,42.0,2.0,8,4.0
126,F,30,1,175500.0,1,Secondary / secondary special,Municipal apartment,Laborers,3,0,0,Single / not married,2.0,13,87750.0,45.0,2.0,5,2.5
127,M,40,1,360000.0,2,Higher education,House / apartment,Laborers,3,1,0,Married,3.0,1,120000.0,30.0,2.0,8,2.6666666666666665
128,F,30,1,112500.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,3.0,14,37500.0,38.0,1.0,3,1.0
129,M,40,1,315000.0,0,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,3.0,4,105000.0,11.0,2.0,8,2.6666666666666665
130,F,40,0,297000.0,1,Secondary / secondary special,Rented apartment,Laborers,3,0,0,Single / not married,1.0,8,297000.0,1.0,0.0,7,7.0
131,F,30,0,202500.0,1,Secondary / secondary special,With parents,Commercial associate,2,0,0,Civil marriage,2.0,14,101250.0,33.0,0.0,5,2.5
132,F,20,0,225000.0,0,Higher education,House / apartment,Drivers,2,0,1,Married,2.0,1,112500.0,35.0,2.0,6,3.0
133,F,30,1,387000.0,1,Higher education,House / apartment,Managers,1,0,0,Married,3.0,7,129000.0,22.0,2.0,8,2.6666666666666665
134,F,60,0,135000.0,2,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Widow,1.0,-1000,135000.0,6.0,2.0,3,3.0
135,M,40,1,337500.0,1,Higher education,House / apartment,Managers,1,0,0,Separated,2.0,0,168750.0,23.0,0.0,8,4.0
136,F,30,1,225000.0,0,Secondary / secondary special,House / apartment,Accountants,1,0,0,Civil marriage,3.0,1,75000.0,29.0,2.0,6,2.0
137,F,30,1,225000.0,2,Secondary / secondary special,House / apartment,Sales staff,2,0,0,Married,3.0,8,75000.0,46.0,2.0,6,2.0
138,F,60,0,54000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,27000.0,2.0,0.0,1,0.5
139,F,30,0,157500.0,1,Secondary / secondary special,House / apartment,Commercial associate,2,0,0,Married,2.0,2,78750.0,39.0,2.0,5,2.5
140,M,30,1,180000.0,2,Higher education,With parents,Laborers,3,0,1,Married,3.0,4,60000.0,15.0,0.0,5,1.6666666666666667
141,F,20,1,112500.0,2,Higher education,House / apartment,Core staff,1,1,0,Civil marriage,3.0,8,37500.0,12.0,2.0,3,1.0
142,M,60,0,360000.0,2,Higher education,House / apartment,Managers,1,0,0,Married,2.0,5,180000.0,11.0,2.0,8,4.0
143,F,30,0,256500.0,2,Secondary / secondary special,House / apartment,Core staff,1,1,0,Married,2.0,2,128250.0,45.0,2.0,7,3.5
144,F,20,0,180000.0,1,Secondary / secondary special,House / apartment,Working,2,0,0,Married,2.0,3,90000.0,8.0,2.0,5,2.5
145,F,50,0,202500.0,1,Secondary / secondary special,House / apartment,Medicine staff,1,0,0,Married,2.0,32,101250.0,7.0,2.0,5,2.5
146,F,30,0,247500.0,0,Higher education,House / apartment,Managers,1,0,1,Married,2.0,20,123750.0,6.0,1.0,7,3.5
147,F,30,0,157500.0,1,Higher education,House / apartment,Sales staff,2,0,0,Married,2.0,1,78750.0,11.0,1.0,5,2.5
148,M,30,0,225000.0,2,Secondary / secondary special,House / apartment,Working,2,0,0,Married,2.0,2,112500.0,26.0,2.0,6,3.0
149,F,30,2,112500.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,4.0,6,28125.0,49.0,1.0,3,0.75
150,F,30,1,157500.0,1,Higher education,House / apartment,Laborers,3,0,0,Married,3.0,7,52500.0,41.0,2.0,5,1.6666666666666667
151,M,40,0,360000.0,2,Secondary / secondary special,House / apartment,Drivers,2,0,0,Married,2.0,0,180000.0,33.0,2.0,8,4.0
152,F,20,0,360000.0,2,Secondary / secondary special,House / apartment,Medicine staff,1,0,1,Separated,1.0,1,360000.0,35.0,2.0,8,8.0
153,M,40,0,180000.0,2,Secondary / secondary special,House / apartment,Drivers,2,0,0,Married,2.0,9,90000.0,32.0,1.0,5,2.5
154,F,50,0,175500.0,0,Secondary / secondary special,House / apartment,Working,2,0,1,Married,2.0,30,87750.0,46.0,2.0,5,2.5
155,F,50,0,90000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,45000.0,35.0,2.0,2,1.0
156,M,40,1,135000.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Separated,2.0,2,67500.0,38.0,2.0,3,1.5
157,M,20,2,157500.0,1,Secondary / secondary special,House / apartment,Working,2,0,0,Married,4.0,3,39375.0,44.0,2.0,5,1.25
158,M,20,1,202500.0,1,Higher education,House / apartment,Core staff,1,0,0,Married,3.0,6,67500.0,39.0,2.0,5,1.6666666666666667
159,F,50,0,153000.0,1,Higher education,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,76500.0,51.0,1.0,4,2.0
160,F,40,1,72000.0,2,Secondary / secondary special,House / apartment,Sales staff,2,0,0,Married,3.0,3,24000.0,11.0,2.0,1,0.3333333333333333
161,M,30,2,360000.0,2,Secondary / secondary special,House / apartment,Managers,1,0,0,Married,4.0,2,90000.0,33.0,0.0,8,2.0
162,F,40,1,540000.0,0,Secondary / secondary special,House / apartment,Managers,1,0,1,Separated,2.0,5,270000.0,60.0,2.0,10,5.0
163,F,60,0,155250.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,77625.0,24.0,2.0,4,2.0
164,M,50,0,189000.0,2,Secondary / secondary special,House / apartment,Security staff,2,1,0,Married,2.0,2,94500.0,3.0,1.0,5,2.5
165,F,50,0,139500.0,1,Higher education,House / apartment,State servant,1,0,1,Married,2.0,2,69750.0,4.0,1.0,3,1.5
166,F,50,0,495000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Widow,1.0,-1000,495000.0,15.0,2.0,10,10.0
167,M,40,0,459000.0,1,Secondary / secondary special,House / apartment,Drivers,2,0,1,Married,2.0,0,229500.0,14.0,2.0,8,4.0
168,F,50,0,157500.0,0,Secondary / secondary special,House / apartment,Working,2,0,1,Married,2.0,27,78750.0,21.0,1.0,5,2.5
169,F,30,1,225000.0,1,Secondary / secondary special,House / apartment,Working,2,0,0,Separated,2.0,10,112500.0,3.0,1.0,6,3.0
170,M,40,1,450000.0,2,Secondary / secondary special,House / apartment,Core staff,1,1,0,Married,3.0,1,150000.0,60.0,2.0,8,2.6666666666666665
171,F,40,0,135000.0,0,Secondary / secondary special,House / apartment,Private service staff,2,0,0,Married,2.0,2,67500.0,2.0,0.0,3,1.5
172,M,40,1,135000.0,1,Secondary / secondary special,House / apartment,Working,2,0,0,Married,3.0,22,45000.0,49.0,1.0,3,1.0
173,F,60,0,189000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,94500.0,19.0,0.0,5,2.5
174,F,20,0,225000.0,1,Higher education,House / apartment,Sales staff,2,1,0,Married,2.0,2,112500.0,15.0,2.0,6,3.0
175,M,20,0,112500.0,1,Secondary / secondary special,House / apartment,Drivers,2,0,0,Married,2.0,3,56250.0,2.0,1.0,3,1.5
176,F,40,0,315000.0,1,Higher education,House / apartment,Managers,1,0,1,Married,2.0,27,157500.0,26.0,2.0,8,4.0
177,F,30,0,157500.0,0,Higher education,Rented apartment,Commercial associate,2,0,0,Single / not married,1.0,3,157500.0,22.0,1.0,5,5.0
178,M,50,0,126000.0,0,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,63000.0,12.0,2.0,3,1.5
179,M,40,0,315000.0,2,Secondary / secondary special,Rented apartment,Drivers,2,0,0,Married,2.0,5,157500.0,19.0,2.0,8,4.0
180,F,50,0,720000.0,2,Higher education,House / apartment,Managers,1,0,1,Separated,1.0,13,720000.0,58.0,2.0,10,10.0
181,F,50,0,90000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,45000.0,5.0,0.0,2,1.0
182,F,20,2,67500.0,1,Higher education,House / apartment,Working,2,0,1,Married,4.0,2,16875.0,12.0,0.0,1,0.25
183,F,60,0,157500.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,78750.0,42.0,1.0,5,2.5
184,M,40,0,225000.0,1,Secondary / secondary special,Office apartment,Drivers,2,1,0,Married,2.0,2,112500.0,46.0,2.0,6,3.0
185,F,40,0,180000.0,1,Lower secondary,House / apartment,Cleaning staff,3,0,1,Widow,1.0,6,180000.0,49.0,2.0,5,5.0
186,F,50,0,216000.0,2,Higher education,House / apartment,Secretaries,2,0,0,Married,2.0,4,108000.0,10.0,2.0,6,3.0
187,F,30,1,157500.0,2,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,3.0,11,52500.0,4.0,1.0,5,1.6666666666666667
188,F,50,0,112500.0,0,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Widow,1.0,-1000,112500.0,26.0,0.0,3,3.0
189,F,40,0,112500.0,1,Secondary / secondary special,House / apartment,Working,2,0,0,Married,2.0,12,56250.0,44.0,2.0,3,1.5
190,F,60,0,90000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Single / not married,1.0,-1000,90000.0,13.0,0.0,2,2.0
191,F,50,0,121500.0,0,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,60750.0,28.0,2.0,3,1.5
192,F,30,0,135000.0,1,Higher education,House / apartment,Laborers,3,0,0,Married,2.0,4,67500.0,14.0,2.0,3,1.5
193,M,40,0,202500.0,1,Secondary / secondary special,House / apartment,Security staff,2,0,0,Married,2.0,7,101250.0,22.0,0.0,5,2.5
194,M,30,1,252000.0,1,Higher education,House / apartment,High skill tech staff,1,0,1,Married,3.0,4,84000.0,19.0,1.0,7,2.3333333333333335
195,F,30,0,202500.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Civil marriage,2.0,1,101250.0,5.0,2.0,5,2.5
