은행코드,은행명,상품코드,상품명,상품일련번호,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,통장거치식_신규가입금액_단위,적립식_월부금_단위,상품개요_설명,신규채널,해지채널,상품그룹코드,상품그룹명,예금입출금방식,만기여부,이자지급방법,이자계산방법,적립식_부금납입방식,적립식_부금납입주기,적립식_부금금액한도_여부,적립식_부금금액한도_조건,가입대상고객_조건여부,가입대상고객_조건,가입제한_조건여부,가입제한_조건,기본금리,예금자보호대상여부,판매한도금액,만기후이율,중도해지이율,세제혜택_비과세종합저축_여부,세제혜택_비과세종합저축_조건,회전식_정기예금_여부,회전식_정기예금_회전주기_개월수,기타_상품가입_고려사항,추가내용,우대금리조건여부,우대금리조건_개수,최대우대금리,우대금리조건_고객예금실적_여부,우대금리조건_고객예금실적_조건,우대금리조건_고객예금실적_우대금리,우대금리조건_우수고객우대제도_여부,우대금리조건_우수고객우대제도_조건,우대금리조건_우수고객우대제도_우대금리,우대금리조건_가입금액우대_여부,우대금리조건_가입금액우대_조건,우대금리조건_가입금액우대_우대금리,우대금리조건_아파트관리비이체_여부,우대금리조건_아파트관리비이체_조건,우대금리조건_아파트관리비이체_우대금리,우대금리조건_공과금이체_여부,우대금리조건_공과금이체_조건,우대금리조건_공과금이체_우대금리,우대금리조건_급여이체_여부,우대금리조건_급여이체_조건,우대금리조건_급여이체_우대금리,우대금리조건_예금자동이체_여부,우대금리조건_예금자동이체_여부_조건,우대금리조건_예금자동이체_우대금리,우대금리조건_보험료자동이체_여부,우대금리조건_보험료자동이체_여부_조건,우대금리조건_보험료자동이체_우대금리,우대금리조건_연금자동이체_여부,우대금리조건_연금자동이체_여부_조건,우대금리조건_연금자동이체_우대금리,우대금리조건_신용카드가맹점결제계좌_여부,우대금리조건_신용카드가맹점결제계좌_조건,우대금리조건_신용카드가맹점결제계좌_우대금리,우대금리조건_신용카드결제계좌_여부,우대금리조건_신용카드결제계좌_조건,우대금리조건_신용카드결제계좌_우대금리,우대금리조건_신용카드사용금액_여부,우대금리조건_신용카드사용금액_조건,우대금리조건_신용카드사용금액_우대금리,우대금리조건_체크카드연계_여부,우대금리조건_체크카드연계_조건,우대금리조건_체크카드연계_우대금리,우대금리조건_제휴카드연계_여부,우대금리조건_제휴카드연계_조건,우대금리조건_제휴카드연계_우대금리,우대금리조건_재유치_여부,우대금리조건_재유치_조건,우대금리조건_재유치_우대금리,우대금리조건_카드사용실적_여부,우대금리조건_카드사용실적_조건,우대금리조건_카드사용실적_우대금리,우대금리조건_퇴직금예치_여부,우대금리조건_퇴직금예치_조건,우대금리조건_퇴직금예치_우대금리,우대금리조건_고객특성우대_여부,우대금리조건_고객특성우대_조건,우대금리조건_고객특성우대_우대금리,우대금리조건_장병우대_여부,우대금리조건_장병우대_조건,우대금리조건_장병우대_우대금리,우대금리조건_농어민우대_여부,우대금리조건_농어민우대_조건,우대금리조건_농어민우대_우대금리,우대금리조건_어린이우대_여부,우대금리조건_어린이우대_조건,우대금리조건_어린이우대_우대금리,우대금리조건_학생우대_여부,우대금리조건_학생우대_조건,우대금리조건_학생우대_우대금리,우대금리조건_첫거래우대_여부,우대금리조건_첫거래우대_조건,우대금리조건_첫거래우대_우대금리,우대금리조건_고객연령우대_여부,우대금리조건_고객연령우대_조건,우대금리조건_고객연령우대_우대금리,우대금리조건_비대면채널_여부,우대금리조건_비대면채널_조건,우대금리조건_비대면채널_우대금리,우대금리조건_인터넷뱅킹_여부,우대금리조건_인터넷뱅킹_조건,우대금리조건_인터넷뱅킹_우대금리,우대금리조건_모바일뱅킹_여부,우대금리조건_모바일뱅킹_조건,우대금리조건_모바일뱅킹_우대금리,우대금리조건_모바일앱_여부,우대금리조건_모바일앱_조건,우대금리조건_모바일앱_우대금리,우대금리조건_오픈뱅킹_여부,우대금리조건_오픈뱅킹_조건,우대금리조건_오픈뱅킹_우대금리,우대금리조건_마이데이터_여부,우대금리조건_마이데이터_조건,우대금리조건_마이데이터_우대금리,우대금리조건_상품미보유_여부,우대금리조건_상품미보유_조건,우대금리조건_상품미보유_우대금리,우대금리조건_만기금액우대_여부,우대금리조건_만기금액우대_조건,우대금리조건_만기금액우대_우대금리,우대금리조건_마케팅활용동의_여부,우대금리조건_마케팅활용동의_조건,우대금리조건_마케팅활용동의_우대금리,우대금리조건_위치인증_여부,우대금리조건_위치인증_조건,우대금리조건_위치인증_우대금리,우대금리조건_기타1_여부,우대금리조건_기타1_조건,우대금리조건_기타1_우대금리,우대금리조건_기타2_여부,우대금리조건_기타2_조건,우대금리조건_기타2_우대금리,우대금리조건_기타3_여부,우대금리조건_기타3_조건,우대금리조건_기타3_우대금리,우대금리조건_기타4_여부,우대금리조건_기타4_조건,우대금리조건_기타4_우대금리,우대금리조건_기타5_여부,우대금리조건_기타5_조건,우대금리조건_기타5_우대금리
032,부산은행,032-00039,부산은행 장병내일준비적금,3,15개월 이상,24개월 이하,제한없음,제한없음,제한없음,월 1만원 이상 원단위,병역의무수행자의 전역 후 목돈 마련을 위한 고금리 자유적립식 적금 상품,1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 20만원 이하(전 금융권 40만원 이내),있음,"병역의무수행자로서 현역병사에 준하는 급여를 지급받고 있는자, 
현역병, 상근예비역, 전환복무자(의경, 해양의경, 소방원),
 사회복무요원, 대체복무요원",없음,,5.0,Y,,신규가입일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,이 적금의 만기후 이자는 과세를 적용합니다.,,,,,Y,1.0,0.1,Y,"주택청약종합저축 우대이율 0.10%p
- 이 적금 만기해지시 본인명의 주택청약종합저축 보유시 0.10%p의 우대이율 지급",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00041,BNK희망가꾸기적금,2,24개월 이상,36개월 미만,제한없음,제한없음,제한없음,1천원 이상 원단위,"기초생활수급자, 소년소녀가장, 북한이탈주민, 결혼이민자(다문화가정), 장애인의 목돈마련 적립 지원에 걸맞는 현실적인 수준의 고금리를 제공하는 특별상품!!",1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 25만원,있음,"실명의 개인 (1인 1계좌), - 기초생활수급자 본인(기초생활수급자인 독거노인 포함)

- 소년소녀가장 본인

- 북한이탈주민 본인

- 다문화가정(결혼이민자 본인, 그 배우자 및 자녀)

- 한부모가정

- 장애인",없음,,3.25,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,Y,1.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,이 적금을 만기해지 하는 경우 가입기간 및 금액에 관계없이 우대이율 2.50%p를  적용한다.,2.5,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00040,2030부산월드엑스포적금,1,18개월 이상,24개월 미만,제한없음,제한없음,제한없음,1천원 이상 천원 단위,2030년 월드엑스포의 부산 유치를 기원하는 상품,"1:영업점, 3:스마트뱅킹","1:영업점, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 3백만원 이하,있음,실명의 개인 (1인 1계좌),없음,,3.65,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,이 적금의 만기후 이자는 과세를 적용합니다.,,,,,Y,3.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"엑스포 유치 응원 우대이율 : 0.30%p,
 (사)2030부산월드엑스포 범시민유치위원회 홈페이지(www.2030busanexpo.kr)에서 유치 응원 한마디를 남긴 후 영업점 창구 또는 모바일뱅킹에서 제시·인증하는 경우 적용
엑스포 유치 기원 우대이율 : 1.00%p
2030년 월드엑스포 부산 유치를 기원하기 위해 2022년, 2023년 해당 연도에 총 2,030좌(연도별 각 1,015좌)를 추첨하여 적용",1.3,,,,,,,,,,,,,,,,,,,Y,"비대면 채널 가입 또는 상품서비스안내 동의서 징구 우대이율 : 0.10%p
비대면 채널을 통해 이 적금을 가입하거나, 신규시 영업점 창구에서 상품서비스안내 동의서 징구 후 신규하는 경우 적용",0.1,,,,,,,,,,,,,,,,Y,"?첫 거래 우대이율 : 0.50%p
이 적금 가입일 전일 기준, 최근 3년간 부산은행 예·적금 신규 가입 이력이 없는 경우 적용
",0.5,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00042,백세청춘 실버적금,1,12개월,12개월,제한없음,제한없음,제한없음,1만원 이상 원단위,"1년제 자유적립식 적금으로 제세 후 만기 원리금이 1회차 불입금으로 재예치되어 연복리 효과 거양 (최장 10년), 
적금의 해지없이 재예치 금액을 만기해지 포함 최대 3회까지 분할인출 가능","1:영업점, 3:스마트뱅킹","1:영업점, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 1천만원 이하,있음,만 56세 이상의 개인(1인 1계좌),없음,,3.75,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,Y,3.0,0.3,Y,이 적금의 신규(또는 재예치) 시점에 백세청춘 연금통장을 보유하고 있는 경우?,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"재예치 우대이율 : 0.10%p
이 적금이 만기일 이후 재예치되는 경우 매 재예치 시점에 적용",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"?비대면채널 가입 우대이율 : 0.10%p
비대면채널을 통해 이 적금을 가입한 경우 최초 신규 시 1회에 한하여 적용",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00040,2030부산월드엑스포적금,2,24개월 이상,30개월 미만,제한없음,제한없음,제한없음,1천원 이상 천원 단위,2030년 월드엑스포의 부산 유치를 기원하는 상품,"1:영업점, 3:스마트뱅킹","1:영업점, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 3백만원 이하,있음,실명의 개인 (1인 1계좌),없음,,3.75,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,이 적금의 만기후 이자는 과세를 적용합니다.,,,,,Y,3.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"엑스포 유치 응원 우대이율 : 0.30%p,
 (사)2030부산월드엑스포 범시민유치위원회 홈페이지(www.2030busanexpo.kr)에서 유치 응원 한마디를 남긴 후 영업점 창구 또는 모바일뱅킹에서 제시·인증하는 경우 적용
엑스포 유치 기원 우대이율 : 1.00%p
2030년 월드엑스포 부산 유치를 기원하기 위해 2022년, 2023년 해당 연도에 총 2,030좌(연도별 각 1,015좌)를 추첨하여 적용",1.3,,,,,,,,,,,,,,,,,,,Y,"비대면 채널 가입 또는 상품서비스안내 동의서 징구 우대이율 : 0.10%p
비대면 채널을 통해 이 적금을 가입하거나, 신규시 영업점 창구에서 상품서비스안내 동의서 징구 후 신규하는 경우 적용",0.1,,,,,,,,,,,,,,,,Y,"?첫 거래 우대이율 : 0.50%p
이 적금 가입일 전일 기준, 최근 3년간 부산은행 예·적금 신규 가입 이력이 없는 경우 적용
",0.5,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00040,2030부산월드엑스포적금,3,30개월 이상,36개월 이하,제한없음,제한없음,제한없음,1천원 이상 천원 단위,2030년 월드엑스포의 부산 유치를 기원하는 상품,"1:영업점, 3:스마트뱅킹","1:영업점, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 3백만원 이하,있음,실명의 개인 (1인 1계좌),없음,,3.85,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,이 적금의 만기후 이자는 과세를 적용합니다.,,,,,Y,3.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"엑스포 유치 응원 우대이율 : 0.30%p,
 (사)2030부산월드엑스포 범시민유치위원회 홈페이지(www.2030busanexpo.kr)에서 유치 응원 한마디를 남긴 후 영업점 창구 또는 모바일뱅킹에서 제시·인증하는 경우 적용
엑스포 유치 기원 우대이율 : 1.00%p
2030년 월드엑스포 부산 유치를 기원하기 위해 2022년, 2023년 해당 연도에 총 2,030좌(연도별 각 1,015좌)를 추첨하여 적용",1.3,,,,,,,,,,,,,,,,,,,Y,"비대면 채널 가입 또는 상품서비스안내 동의서 징구 우대이율 : 0.10%p
비대면 채널을 통해 이 적금을 가입하거나, 신규시 영업점 창구에서 상품서비스안내 동의서 징구 후 신규하는 경우 적용",0.1,,,,,,,,,,,,,,,,Y,"?첫 거래 우대이율 : 0.50%p
이 적금 가입일 전일 기준, 최근 3년간 부산은행 예·적금 신규 가입 이력이 없는 경우 적용
",0.5,,,,,,,,,,,,,,,,,,,,,,,,
003,기업은행,003-00039,가계우대정기적금,2,12개월이상,24개월미만,제한없음,제한없음,제한없음,100원이상,개인의 목돈마련을 위한 일정금액을 적립하는 정액적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,있음,실명의 개인,없음,,3.65,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,비과세종합저축 가입 가능 ※ 관련 세법이 개정될 경우 세율이 변경되거나 세금이 부과될 수 있음 ※ 계약기간 만료일 이후의 이자는 과세됨,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,기업은행,003-00039,가계우대정기적금,3,24개월이상,36개월미만,제한없음,제한없음,제한없음,100원이상,개인의 목돈마련을 위한 일정금액을 적립하는 정액적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,있음,실명의 개인,없음,,3.75,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,비과세종합저축 가입 가능 ※ 관련 세법이 개정될 경우 세율이 변경되거나 세금이 부과될 수 있음 ※ 계약기간 만료일 이후의 이자는 과세됨,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00017,경남은행장병내일준비적금,1,6개월 이상,12개월 미만,제한없음,제한없음,제한없음,월1만원 이상,"현역병, 상근예비역, 의무경찰, 해양의무경찰, 의무소방원, 사회복무요원, 대체복무요원 등 장병의 목돈마련을 지원하는 자유적립식 예금",1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,"월20만원 이하
(타기관 장병내일준비적금과 합산 월40만원 초과 불가)",있음,"실명의 개인으로서 가입일 기준 남은 복무기간이 6개월이상인 현역병, 상근예비역, 의무경찰, 해양의무경찰, 의무소방원, 사회복무요원, 대체복무요원(1인1계좌)",없음,,4.1,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"비과세종합저축으로만 가입 가능
(비과세 적용기간은 24개월 초과 불가)",,,,,Y,1.0,0.1,Y,가입일 현재 예금주 본인명의 당행 “주택청약종합저축(청년우대형 주택청약종합저축 포함)”을 보유중인 경우,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00017,경남은행장병내일준비적금,2,12개월 이상,15개월 미만,제한없음,제한없음,제한없음,월1만원 이상,"현역병, 상근예비역, 의무경찰, 해양의무경찰, 의무소방원, 사회복무요원, 대체복무요원 등 장병의 목돈마련을 지원하는 자유적립식 예금",1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,"월20만원 이하
(타기관 장병내일준비적금과 합산 월40만원 초과 불가)",있음,"실명의 개인으로서 가입일 기준 남은 복무기간이 6개월이상인 현역병, 상근예비역, 의무경찰, 해양의무경찰, 의무소방원, 사회복무요원, 대체복무요원(1인1계좌)",없음,,4.9,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"비과세종합저축으로만 가입 가능
(비과세 적용기간은 24개월 초과 불가)",,,,,Y,1.0,0.1,Y,가입일 현재 예금주 본인명의 당행 “주택청약종합저축(청년우대형 주택청약종합저축 포함)”을 보유중인 경우,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00041,BNK희망가꾸기적금,1,12개월 이상,24개월 미만,제한없음,제한없음,제한없음,1천원 이상 원단위,"기초생활수급자, 소년소녀가장, 북한이탈주민, 결혼이민자(다문화가정), 장애인의 목돈마련 적립 지원에 걸맞는 현실적인 수준의 고금리를 제공하는 특별상품!!",1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 25만원,있음,"실명의 개인 (1인 1계좌), - 기초생활수급자 본인(기초생활수급자인 독거노인 포함)

- 소년소녀가장 본인

- 북한이탈주민 본인

- 다문화가정(결혼이민자 본인, 그 배우자 및 자녀)

- 한부모가정

- 장애인",없음,,3.05,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,Y,1.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,이 적금을 만기해지 하는 경우 가입기간 및 금액에 관계없이 우대이율 2.50%p를  적용한다.,2.5,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00041,BNK희망가꾸기적금,3,36개월,36개월,제한없음,제한없음,제한없음,1천원 이상 원단위,"기초생활수급자, 소년소녀가장, 북한이탈주민, 결혼이민자(다문화가정), 장애인의 목돈마련 적립 지원에 걸맞는 현실적인 수준의 고금리를 제공하는 특별상품!!",1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 25만원,있음,"실명의 개인 (1인 1계좌), - 기초생활수급자 본인(기초생활수급자인 독거노인 포함)

- 소년소녀가장 본인

- 북한이탈주민 본인

- 다문화가정(결혼이민자 본인, 그 배우자 및 자녀)

- 한부모가정

- 장애인",없음,,3.45,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,Y,1.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,이 적금을 만기해지 하는 경우 가입기간 및 금액에 관계없이 우대이율 2.50%p를  적용한다.,2.5,,,,,,,,,,,,,,,,,,,,,
003,기업은행,003-00039,가계우대정기적금,4,36개월이상,72개월이하,제한없음,제한없음,제한없음,100원이상,개인의 목돈마련을 위한 일정금액을 적립하는 정액적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,있음,실명의 개인,없음,,3.85,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,비과세종합저축 가입 가능 ※ 관련 세법이 개정될 경우 세율이 변경되거나 세금이 부과될 수 있음 ※ 계약기간 만료일 이후의 이자는 과세됨,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00044,아이사랑자유적금,1,24개월,24개월,제한없음,제한없음,제한없음,3만원 이상 원단위(단 신규시 10만원 이상 원단위),자녀의 성장에 맞추어 자유로이 적립할 수 있는 상품으로서 자녀종합상해보험 무료가입 서비스 제공,1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월 500만원 이하,있음,만 19세 이하인 실명의 개인 (1인 1통장),없음,,3.8,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,Y,2.0,0.3,,,,Y,자동재예치 후 잔액 2백만원 이상된 만기해지 또는 재예치?고객,0.2,,,,,,,,,,,,,Y,Y,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00045,정기적금,1,6개월 이상,12개월 미만,제한없음,제한없음,제한없음,100원 이상 원단위,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 상품,1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,2.6,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00045,정기적금,2,12개월 이상,24개월 미만,제한없음,제한없음,제한없음,100원 이상 원단위,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 상품,1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,2.9,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00045,정기적금,3,24개월 이상,36개월 미만,제한없음,제한없음,제한없음,100원 이상 원단위,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 상품,1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,2.95,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00045,정기적금,4,36개월 이상,60개월 이하,제한없음,제한없음,제한없음,100원 이상 원단위,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 상품,1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,3.05,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
