,gender,age_group,child_num,income_total,asset,edu_type,house_type,occyp_type,income_stability,email,work_phone,family_type,family_size,emp_years,income_per_capita,hold_period,credit,income_total_label,income_per_capita_label
44,1,40,0,247500.0,0,0,1,6,2,0,0,1,2.0,0,123750.0,26.0,2.0,7,3.5
45,1,50,0,405000.0,1,0,1,4,1,0,1,0,2.0,8,202500.0,4.0,0.0,8,4.0
46,0,50,0,135000.0,0,1,1,9,1,0,0,4,1.0,-1000,135000.0,24.0,2.0,3,3.0
47,0,50,0,292500.0,2,0,1,3,2,0,0,0,2.0,9,146250.0,48.0,2.0,7,3.5
48,0,60,0,99000.0,1,1,1,9,1,0,0,0,2.0,-1000,49500.0,4.0,2.0,2,1.0
49,0,50,0,585000.0,1,1,1,0,2,0,0,0,2.0,5,292500.0,12.0,2.0,10,5.0
50,0,30,1,90000.0,1,1,1,3,2,0,1,0,3.0,3,30000.0,4.0,2.0,2,0.6666666666666666
51,1,20,0,495000.0,2,2,2,6,2,1,0,0,2.0,3,247500.0,10.0,2.0,10,5.0
52,0,60,0,54000.0,1,1,1,9,1,0,0,0,2.0,-1000,27000.0,37.0,2.0,1,0.5
53,0,30,2,306000.0,2,0,1,5,1,0,0,0,4.0,10,76500.0,42.0,2.0,7,1.75
54,0,40,1,99000.0,0,1,1,10,2,0,0,0,3.0,1,33000.0,2.0,1.0,2,0.6666666666666666
55,0,30,0,180000.0,1,1,1,1,3,0,0,0,2.0,8,90000.0,24.0,2.0,5,2.5
56,0,40,0,130500.0,2,1,1,1,3,0,0,0,2.0,25,65250.0,29.0,2.0,3,1.5
57,0,40,0,225000.0,1,0,1,5,1,0,0,3,1.0,1,225000.0,3.0,1.0,6,6.0
58,0,60,0,144000.0,1,1,1,9,1,0,0,0,2.0,-1000,72000.0,23.0,2.0,4,2.0
59,0,60,0,360000.0,1,0,1,9,1,0,0,0,2.0,-1000,180000.0,25.0,2.0,8,4.0
60,1,50,0,112500.0,2,1,1,9,1,0,0,2,1.0,-1000,112500.0,1.0,1.0,3,3.0
61,1,30,1,270000.0,1,0,1,2,1,0,0,0,3.0,3,90000.0,15.0,2.0,7,2.3333333333333335
62,0,40,0,225000.0,2,0,1,5,1,0,0,0,2.0,8,112500.0,40.0,1.0,6,3.0
63,1,40,0,315000.0,2,0,1,2,1,0,0,0,2.0,9,157500.0,21.0,2.0,8,4.0
64,1,20,0,67500.0,1,1,0,13,2,0,0,3,1.0,1,67500.0,32.0,2.0,1,1.0
65,0,30,0,40500.0,1,1,1,14,3,0,1,0,2.0,13,20250.0,10.0,2.0,1,0.5
66,1,30,1,144000.0,1,1,1,1,3,0,0,0,3.0,7,48000.0,4.0,1.0,4,1.3333333333333333
67,0,30,2,157500.0,1,0,1,4,1,0,0,0,4.0,3,39375.0,2.0,1.0,5,1.25
68,0,20,0,180000.0,0,1,1,1,3,0,0,0,2.0,4,90000.0,14.0,1.0,5,2.5
69,0,40,0,157500.0,1,0,1,7,1,1,0,0,2.0,8,78750.0,59.0,2.0,5,2.5
70,1,20,0,81000.0,1,0,1,1,3,0,0,3,1.0,5,81000.0,39.0,2.0,2,2.0
71,1,40,2,202500.0,1,1,1,1,3,0,0,0,4.0,10,50625.0,54.0,2.0,5,1.25
72,0,50,0,351000.0,0,0,1,0,2,0,0,0,2.0,2,175500.0,4.0,2.0,8,4.0
73,0,60,0,180000.0,1,1,1,9,1,0,0,0,2.0,-1000,90000.0,34.0,2.0,5,2.5
74,0,20,1,67500.0,1,1,1,3,2,0,1,0,3.0,0,22500.0,25.0,2.0,1,0.3333333333333333
75,0,40,0,315000.0,2,1,1,5,1,1,0,0,2.0,15,157500.0,34.0,2.0,8,4.0
76,0,30,0,315000.0,1,0,1,0,2,0,1,0,2.0,1,157500.0,15.0,2.0,8,4.0
77,0,20,0,135000.0,0,0,1,5,1,0,0,3,1.0,1,135000.0,7.0,1.0,3,3.0
78,0,30,0,112500.0,2,1,1,3,2,0,1,0,2.0,0,56250.0,23.0,1.0,3,1.5
79,0,40,1,225000.0,2,0,1,5,1,0,0,2,2.0,4,112500.0,2.0,0.0,6,3.0
80,0,40,0,247500.0,1,1,1,1,3,0,0,1,2.0,0,123750.0,2.0,1.0,7,3.5
81,1,20,0,135000.0,2,1,1,3,2,1,0,0,2.0,2,67500.0,-0.0,0.0,3,1.5
82,0,40,0,216000.0,2,0,1,8,1,1,0,1,2.0,3,108000.0,53.0,2.0,6,3.0
83,0,30,2,180000.0,0,0,1,4,1,0,0,0,4.0,4,45000.0,38.0,1.0,5,1.25
84,1,60,0,135000.0,2,1,1,9,1,0,0,0,2.0,-1000,67500.0,27.0,2.0,3,1.5
85,1,40,0,184500.0,1,1,0,1,3,0,0,0,2.0,3,92250.0,41.0,1.0,5,2.5
86,1,30,1,112500.0,2,1,1,6,2,1,1,0,3.0,1,37500.0,45.0,2.0,3,1.0
87,0,30,0,270000.0,1,1,1,5,1,1,1,4,1.0,0,270000.0,56.0,2.0,7,7.0
88,0,50,0,360000.0,2,1,1,2,1,0,0,0,2.0,14,180000.0,45.0,2.0,8,4.0
89,1,30,0,450000.0,0,2,1,2,1,0,1,0,2.0,11,225000.0,59.0,2.0,8,4.0
90,0,50,0,45000.0,1,1,1,14,3,0,1,0,2.0,25,22500.0,30.0,2.0,1,0.5
91,0,50,0,202500.0,2,1,1,15,2,0,0,0,2.0,8,101250.0,20.0,2.0,5,2.5
92,1,30,1,135000.0,2,1,1,1,3,0,0,0,3.0,1,45000.0,5.0,2.0,3,1.0
93,0,50,0,202500.0,1,1,1,4,1,0,0,3,1.0,9,202500.0,22.0,1.0,5,5.0
94,0,60,0,180000.0,1,1,1,9,1,0,0,0,2.0,-1000,90000.0,26.0,2.0,5,2.5
95,1,40,0,79650.0,1,1,1,9,1,0,0,0,2.0,-1000,39825.0,14.0,2.0,2,1.0
96,1,60,0,450000.0,1,1,1,13,2,0,0,0,2.0,5,225000.0,56.0,2.0,8,4.0
97,1,20,0,157500.0,2,1,1,6,2,0,0,1,2.0,3,78750.0,46.0,2.0,5,2.5
98,1,20,0,450000.0,2,0,1,3,2,1,0,3,1.0,1,450000.0,5.0,2.0,8,8.0
99,0,50,0,270000.0,0,1,1,7,1,1,0,2,1.0,33,270000.0,35.0,2.0,7,7.0
100,0,60,0,135000.0,1,0,1,15,2,0,0,0,2.0,23,67500.0,9.0,2.0,3,1.5
101,0,50,0,81000.0,1,1,1,2,1,0,1,0,2.0,8,40500.0,2.0,1.0,2,1.0
102,0,30,1,135000.0,0,1,1,2,1,0,0,0,3.0,1,45000.0,12.0,2.0,3,1.0
103,1,40,0,315000.0,1,0,1,2,1,0,1,0,2.0,10,157500.0,12.0,2.0,8,4.0
104,1,40,0,225000.0,2,0,1,3,2,0,0,3,1.0,6,225000.0,7.0,0.0,6,6.0
105,1,20,0,135000.0,2,1,1,1,3,0,0,0,2.0,7,67500.0,5.0,2.0,3,1.5
106,0,40,1,90000.0,0,1,1,10,2,0,0,0,3.0,5,30000.0,47.0,2.0,2,0.6666666666666666
107,0,20,1,306000.0,1,0,1,10,2,0,0,0,3.0,4,102000.0,4.0,1.0,7,2.3333333333333335
108,0,20,0,153000.0,1,0,1,5,1,0,0,3,1.0,1,153000.0,22.0,2.0,4,4.0
109,0,60,0,126000.0,1,1,1,4,1,0,1,0,2.0,6,63000.0,13.0,2.0,3,1.5
110,1,30,0,315000.0,2,0,1,2,1,0,0,0,2.0,0,157500.0,57.0,2.0,8,4.0
111,1,40,1,225000.0,2,1,1,6,2,0,0,0,3.0,6,75000.0,44.0,2.0,6,2.0
112,0,40,0,193500.0,0,1,1,1,3,0,0,3,1.0,0,193500.0,4.0,2.0,5,5.0
113,0,40,2,90000.0,1,1,1,16,2,0,0,0,4.0,3,22500.0,36.0,1.0,2,0.5
114,1,30,2,135000.0,2,0,1,2,1,1,0,0,4.0,8,33750.0,43.0,2.0,3,0.75
115,0,50,0,81000.0,0,1,1,9,1,0,0,0,2.0,-1000,40500.0,49.0,2.0,2,1.0
116,0,30,1,382500.0,2,1,1,2,1,0,0,0,3.0,7,127500.0,11.0,2.0,8,2.6666666666666665
117,0,40,0,202500.0,1,1,1,3,2,0,0,0,2.0,1,101250.0,27.0,2.0,5,2.5
118,0,50,0,112500.0,1,0,1,3,2,0,0,0,2.0,15,56250.0,47.0,2.0,3,1.5
119,0,30,2,144000.0,1,1,1,16,2,0,1,0,4.0,5,36000.0,-0.0,1.0,4,1.0
120,0,50,0,157500.0,1,1,1,9,1,0,0,4,1.0,-1000,157500.0,4.0,1.0,5,5.0
121,0,40,0,144000.0,0,1,0,3,2,0,1,0,2.0,27,72000.0,35.0,2.0,4,2.0
122,0,30,2,283500.0,2,0,1,5,1,0,0,0,4.0,11,70875.0,39.0,2.0,7,1.75
123,0,50,0,202500.0,1,1,1,4,1,0,0,0,2.0,17,101250.0,48.0,2.0,5,2.5
124,0,40,2,90000.0,2,1,1,8,1,0,0,0,4.0,9,22500.0,55.0,2.0,2,0.5
125,1,30,0,360000.0,1,1,1,2,1,0,0,0,2.0,11,180000.0,42.0,2.0,8,4.0
126,0,30,1,175500.0,1,1,0,1,3,0,0,3,2.0,13,87750.0,45.0,2.0,5,2.5
127,1,40,1,360000.0,2,0,1,1,3,1,0,0,3.0,1,120000.0,30.0,2.0,8,2.6666666666666665
128,0,30,1,112500.0,1,1,1,1,3,0,0,0,3.0,14,37500.0,38.0,1.0,3,1.0
129,1,40,1,315000.0,0,1,1,1,3,0,0,0,3.0,4,105000.0,11.0,2.0,8,2.6666666666666665
130,0,40,0,297000.0,1,1,4,1,3,0,0,3,1.0,8,297000.0,1.0,0.0,7,7.0
131,0,30,0,202500.0,1,1,2,0,2,0,0,1,2.0,14,101250.0,33.0,0.0,5,2.5
132,0,20,0,225000.0,0,0,1,6,2,0,1,0,2.0,1,112500.0,35.0,2.0,6,3.0
133,0,30,1,387000.0,1,0,1,2,1,0,0,0,3.0,7,129000.0,22.0,2.0,8,2.6666666666666665
134,0,60,0,135000.0,2,1,1,9,1,0,0,4,1.0,-1000,135000.0,6.0,2.0,3,3.0
135,1,40,1,337500.0,1,0,1,2,1,0,0,2,2.0,0,168750.0,23.0,0.0,8,4.0
136,0,30,1,225000.0,0,1,1,8,1,0,0,1,3.0,1,75000.0,29.0,2.0,6,2.0
137,0,30,1,225000.0,2,1,1,3,2,0,0,0,3.0,8,75000.0,46.0,2.0,6,2.0
138,0,60,0,54000.0,1,1,1,9,1,0,0,0,2.0,-1000,27000.0,2.0,0.0,1,0.5
139,0,30,0,157500.0,1,1,1,0,2,0,0,0,2.0,2,78750.0,39.0,2.0,5,2.5
140,1,30,1,180000.0,2,0,2,1,3,0,1,0,3.0,4,60000.0,15.0,0.0,5,1.6666666666666667
141,0,20,1,112500.0,2,0,1,5,1,1,0,1,3.0,8,37500.0,12.0,2.0,3,1.0
142,1,60,0,360000.0,2,0,1,2,1,0,0,0,2.0,5,180000.0,11.0,2.0,8,4.0
143,0,30,0,256500.0,2,1,1,5,1,1,0,0,2.0,2,128250.0,45.0,2.0,7,3.5
144,0,20,0,180000.0,1,1,1,10,2,0,0,0,2.0,3,90000.0,8.0,2.0,5,2.5
145,0,50,0,202500.0,1,1,1,7,1,0,0,0,2.0,32,101250.0,7.0,2.0,5,2.5
146,0,30,0,247500.0,0,0,1,2,1,0,1,0,2.0,20,123750.0,6.0,1.0,7,3.5
147,0,30,0,157500.0,1,0,1,3,2,0,0,0,2.0,1,78750.0,11.0,1.0,5,2.5
148,1,30,0,225000.0,2,1,1,10,2,0,0,0,2.0,2,112500.0,26.0,2.0,6,3.0
149,0,30,2,112500.0,1,1,1,1,3,0,0,0,4.0,6,28125.0,49.0,1.0,3,0.75
150,0,30,1,157500.0,1,0,1,1,3,0,0,0,3.0,7,52500.0,41.0,2.0,5,1.6666666666666667
151,1,40,0,360000.0,2,1,1,6,2,0,0,0,2.0,0,180000.0,33.0,2.0,8,4.0
152,0,20,0,360000.0,2,1,1,7,1,0,1,2,1.0,1,360000.0,35.0,2.0,8,8.0
153,1,40,0,180000.0,2,1,1,6,2,0,0,0,2.0,9,90000.0,32.0,1.0,5,2.5
154,0,50,0,175500.0,0,1,1,10,2,0,1,0,2.0,30,87750.0,46.0,2.0,5,2.5
155,0,50,0,90000.0,1,1,1,9,1,0,0,0,2.0,-1000,45000.0,35.0,2.0,2,1.0
156,1,40,1,135000.0,1,1,1,1,3,0,0,2,2.0,2,67500.0,38.0,2.0,3,1.5
157,1,20,2,157500.0,1,1,1,10,2,0,0,0,4.0,3,39375.0,44.0,2.0,5,1.25
158,1,20,1,202500.0,1,0,1,5,1,0,0,0,3.0,6,67500.0,39.0,2.0,5,1.6666666666666667
159,0,50,0,153000.0,1,0,1,9,1,0,0,0,2.0,-1000,76500.0,51.0,1.0,4,2.0
160,0,40,1,72000.0,2,1,1,3,2,0,0,0,3.0,3,24000.0,11.0,2.0,1,0.3333333333333333
161,1,30,2,360000.0,2,1,1,2,1,0,0,0,4.0,2,90000.0,33.0,0.0,8,2.0
162,0,40,1,540000.0,0,1,1,2,1,0,1,2,2.0,5,270000.0,60.0,2.0,10,5.0
163,0,60,0,155250.0,1,1,1,9,1,0,0,0,2.0,-1000,77625.0,24.0,2.0,4,2.0
164,1,50,0,189000.0,2,1,1,13,2,1,0,0,2.0,2,94500.0,3.0,1.0,5,2.5
165,0,50,0,139500.0,1,0,1,12,1,0,1,0,2.0,2,69750.0,4.0,1.0,3,1.5
166,0,50,0,495000.0,1,1,1,9,1,0,0,4,1.0,-1000,495000.0,15.0,2.0,10,10.0
167,1,40,0,459000.0,1,1,1,6,2,0,1,0,2.0,0,229500.0,14.0,2.0,8,4.0
168,0,50,0,157500.0,0,1,1,10,2,0,1,0,2.0,27,78750.0,21.0,1.0,5,2.5
169,0,30,1,225000.0,1,1,1,10,2,0,0,2,2.0,10,112500.0,3.0,1.0,6,3.0
170,1,40,1,450000.0,2,1,1,5,1,1,0,0,3.0,1,150000.0,60.0,2.0,8,2.6666666666666665
171,0,40,0,135000.0,0,1,1,15,2,0,0,0,2.0,2,67500.0,2.0,0.0,3,1.5
172,1,40,1,135000.0,1,1,1,10,2,0,0,0,3.0,22,45000.0,49.0,1.0,3,1.0
173,0,60,0,189000.0,1,1,1,9,1,0,0,0,2.0,-1000,94500.0,19.0,0.0,5,2.5
174,0,20,0,225000.0,1,0,1,3,2,1,0,0,2.0,2,112500.0,15.0,2.0,6,3.0
175,1,20,0,112500.0,1,1,1,6,2,0,0,0,2.0,3,56250.0,2.0,1.0,3,1.5
176,0,40,0,315000.0,1,0,1,2,1,0,1,0,2.0,27,157500.0,26.0,2.0,8,4.0
177,0,30,0,157500.0,0,0,4,0,2,0,0,3,1.0,3,157500.0,22.0,1.0,5,5.0
178,1,50,0,126000.0,0,1,1,9,1,0,0,0,2.0,-1000,63000.0,12.0,2.0,3,1.5
179,1,40,0,315000.0,2,1,4,6,2,0,0,0,2.0,5,157500.0,19.0,2.0,8,4.0
180,0,50,0,720000.0,2,0,1,2,1,0,1,2,1.0,13,720000.0,58.0,2.0,10,10.0
181,0,50,0,90000.0,1,1,1,9,1,0,0,0,2.0,-1000,45000.0,5.0,0.0,2,1.0
182,0,20,2,67500.0,1,0,1,10,2,0,1,0,4.0,2,16875.0,12.0,0.0,1,0.25
183,0,60,0,157500.0,1,1,1,9,1,0,0,0,2.0,-1000,78750.0,42.0,1.0,5,2.5
184,1,40,0,225000.0,1,1,5,6,2,1,0,0,2.0,2,112500.0,46.0,2.0,6,3.0
185,0,40,0,180000.0,1,3,1,14,3,0,1,4,1.0,6,180000.0,49.0,2.0,5,5.0
186,0,50,0,216000.0,2,0,1,17,2,0,0,0,2.0,4,108000.0,10.0,2.0,6,3.0
187,0,30,1,157500.0,2,1,1,1,3,0,0,0,3.0,11,52500.0,4.0,1.0,5,1.6666666666666667
188,0,50,0,112500.0,0,1,1,9,1,0,0,4,1.0,-1000,112500.0,26.0,0.0,3,3.0
189,0,40,0,112500.0,1,1,1,10,2,0,0,0,2.0,12,56250.0,44.0,2.0,3,1.5
190,0,60,0,90000.0,1,1,1,9,1,0,0,3,1.0,-1000,90000.0,13.0,0.0,2,2.0
191,0,50,0,121500.0,0,1,1,9,1,0,0,0,2.0,-1000,60750.0,28.0,2.0,3,1.5
192,0,30,0,135000.0,1,0,1,1,3,0,0,0,2.0,4,67500.0,14.0,2.0,3,1.5
193,1,40,0,202500.0,1,1,1,13,2,0,0,0,2.0,7,101250.0,22.0,0.0,5,2.5
194,1,30,1,252000.0,1,0,1,4,1,0,1,0,3.0,4,84000.0,19.0,1.0,7,2.3333333333333335
195,0,30,0,202500.0,1,1,1,1,3,0,0,1,2.0,1,101250.0,5.0,2.0,5,2.5
196,1,20,0,202500.0,2,1,1,2,1,0,0,0,2.0,6,101250.0,36.0,2.0,5,2.5
197,1,30,1,360000.0,1,1,1,3,2,0,0,1,3.0,6,120000.0,49.0,2.0,8,2.6666666666666665
198,0,30,2,225000.0,1,1,1,7,1,0,1,0,4.0,14,56250.0,26.0,1.0,6,1.5
199,0,40,2,360000.0,1,1,1,3,2,0,0,0,4.0,1,90000.0,11.0,2.0,8,2.0
200,1,40,0,202500.0,2,0,1,2,1,0,0,0,2.0,5,101250.0,3.0,1.0,5,2.5
201,0,30,0,225000.0,2,0,1,5,1,0,0,0,2.0,10,112500.0,10.0,1.0,6,3.0
202,0,30,0,135000.0,0,0,1,5,1,0,1,0,2.0,12,67500.0,8.0,1.0,3,1.5
203,1,30,0,360000.0,2,1,1,1,3,0,0,0,2.0,11,180000.0,41.0,2.0,8,4.0
204,1,40,0,382500.0,0,1,0,2,1,0,1,0,2.0,3,191250.0,46.0,1.0,8,4.0
205,0,40,0,171000.0,1,1,4,1,3,0,0,3,1.0,1,171000.0,28.0,2.0,5,5.0
206,1,30,0,292500.0,0,1,1,5,1,0,1,0,2.0,7,146250.0,48.0,1.0,7,3.5
207,0,30,0,144000.0,1,1,1,18,1,0,0,4,1.0,3,144000.0,6.0,2.0,4,4.0
208,0,30,2,112500.0,0,0,1,5,1,1,0,0,4.0,7,28125.0,3.0,0.0,3,0.75
209,0,50,0,81000.0,1,1,1,9,1,0,0,0,2.0,-1000,40500.0,18.0,2.0,2,1.0
210,0,40,1,225000.0,2,0,1,5,1,0,0,2,2.0,4,112500.0,-0.0,1.0,6,3.0
211,0,40,0,315000.0,1,0,1,8,1,0,1,2,1.0,6,315000.0,52.0,2.0,8,8.0
212,1,40,1,427500.0,2,0,1,2,1,0,0,0,3.0,0,142500.0,3.0,1.0,8,2.6666666666666665
213,0,30,0,78750.0,0,1,2,13,2,0,1,0,2.0,5,39375.0,13.0,2.0,2,1.0
214,0,60,0,67500.0,0,0,1,9,1,0,0,4,1.0,-1000,67500.0,30.0,0.0,1,1.0
215,0,60,0,121500.0,1,1,1,1,3,0,0,0,2.0,5,60750.0,13.0,2.0,3,1.5
216,0,40,0,144000.0,0,1,1,5,1,0,1,3,1.0,20,144000.0,42.0,2.0,4,4.0
217,0,60,0,135000.0,1,1,1,9,1,0,0,0,2.0,-1000,67500.0,45.0,1.0,3,1.5
218,0,50,0,94500.0,0,1,1,9,1,0,0,0,2.0,-1000,47250.0,41.0,0.0,2,1.0
219,0,40,0,562500.0,1,0,1,2,1,0,1,0,2.0,7,281250.0,12.0,0.0,10,5.0
220,0,60,0,90000.0,1,1,1,9,1,0,0,3,1.0,-1000,90000.0,32.0,1.0,2,2.0
221,0,30,1,72000.0,0,0,1,8,1,1,0,0,3.0,5,24000.0,43.0,2.0,1,0.3333333333333333
222,1,40,0,144000.0,1,1,1,13,2,0,0,1,2.0,5,72000.0,11.0,2.0,4,2.0
223,0,50,0,202500.0,1,1,0,8,1,0,0,0,2.0,3,101250.0,17.0,2.0,5,2.5
224,0,40,0,270000.0,0,0,1,2,1,0,1,0,2.0,15,135000.0,28.0,2.0,7,3.5
225,1,30,1,180000.0,1,1,1,10,2,0,0,0,3.0,12,60000.0,12.0,1.0,5,1.6666666666666667
226,0,30,2,315000.0,2,0,2,2,1,0,0,0,4.0,3,78750.0,50.0,2.0,8,2.0
227,1,50,0,180000.0,2,1,1,10,2,0,0,0,2.0,8,90000.0,49.0,1.0,5,2.5
228,1,20,0,292500.0,1,0,4,3,2,0,0,3,1.0,3,292500.0,7.0,0.0,7,7.0
229,0,50,0,90000.0,1,0,1,9,1,0,0,0,2.0,-1000,45000.0,51.0,2.0,2,1.0
230,0,40,0,103500.0,0,1,1,7,1,0,1,0,2.0,30,51750.0,37.0,2.0,2,1.0
231,0,60,0,67500.0,1,1,1,9,1,0,0,0,2.0,-1000,33750.0,19.0,2.0,1,0.5
232,0,30,0,225000.0,2,0,1,3,2,0,0,1,2.0,1,112500.0,17.0,0.0,6,3.0
233,1,40,0,112500.0,2,1,1,10,2,0,0,0,2.0,21,56250.0,27.0,1.0,3,1.5
234,1,50,0,450000.0,2,1,1,6,2,1,0,0,2.0,2,225000.0,59.0,1.0,8,4.0
235,1,40,0,247500.0,1,0,1,5,1,0,0,1,2.0,1,123750.0,11.0,1.0,7,3.5
236,1,40,0,247500.0,1,1,1,6,2,0,0,0,2.0,3,123750.0,20.0,1.0,7,3.5
237,0,30,0,112500.0,0,1,1,12,1,0,1,0,2.0,18,56250.0,27.0,2.0,3,1.5
238,1,40,0,225000.0,0,1,1,1,3,0,1,0,2.0,0,112500.0,29.0,2.0,6,3.0
239,0,30,1,270000.0,2,0,1,3,2,1,0,2,2.0,0,135000.0,37.0,2.0,7,3.5
240,1,30,0,382500.0,1,0,5,12,1,0,0,0,2.0,11,191250.0,3.0,1.0,8,4.0
241,1,30,2,202500.0,0,1,1,1,3,0,0,0,4.0,8,50625.0,18.0,1.0,5,1.25
242,0,30,2,180000.0,0,1,1,8,1,0,1,0,4.0,3,45000.0,6.0,2.0,5,1.25
243,0,40,0,112500.0,1,1,1,3,2,0,0,3,1.0,2,112500.0,13.0,2.0,3,3.0
244,1,40,1,99000.0,0,1,1,1,3,0,0,3,2.0,14,49500.0,1.0,1.0,2,1.0
245,0,30,1,157500.0,2,1,1,1,3,0,0,0,3.0,9,52500.0,23.0,0.0,5,1.6666666666666667
246,0,50,0,202500.0,2,0,1,8,1,0,0,0,2.0,20,101250.0,43.0,1.0,5,2.5
247,0,50,0,90000.0,1,1,1,14,3,1,0,0,2.0,8,45000.0,28.0,2.0,2,1.0
248,1,30,2,157500.0,2,0,2,6,2,0,0,0,4.0,1,39375.0,47.0,2.0,5,1.25
249,1,40,0,180000.0,0,0,1,5,1,0,0,0,2.0,2,90000.0,43.0,1.0,5,2.5
250,1,30,1,180000.0,1,1,0,4,1,0,0,0,3.0,6,60000.0,11.0,1.0,5,1.6666666666666667
